Entity,Code,Year,Average per capita supply of pulses/kg,Daily caloric supply (kcal/person/day),Fat supply quantity (g/capita/day) ,Protein supply quantity (g/capita/day),Meat food supply quantity (kg/capita/yr),Total population,GDP,Caloric Coefficient Variation (CV) 
Afghanistan,AFG,2013,2.44,2090,33.52,58.25,12.33,32270000,20170,0.25
Africa,,2013,11.79,2624,54.46,69.1,19.01,1123044992,,
Albania,ALB,2013,5.39,3193,106.53,111.42,61.96,2904000,12784,
Algeria,DZA,2013,8.33,3296,76.55,91.96,21.07,38140000,209755,0.28
Americas,,2013,9.15,,119.14,93.25,86.94,56000,,
Angola,AGO,2013,8.96,2473,53.54,57.26,36.13,26016000,136710,0.3
Antigua and Barbuda,ATG,2013,2.96,2417,90.03,83.71,85.07,92000,1181,
Argentina,ARG,2013,0.85,3229,116.46,102.64,107.24,42196000,611471,0.21
Armenia,ARM,2013,,2928,96.64,90.04,45.71,2898000,11121,0.24
Asia,,2013,6.55,2779,72.66,77.57,32.55,,,
Australia,AUS,2013,1.29,3276,87.67,84.91,45.17,23255000,1518345,
Australia & New Zealand,,2013,1.68,,150.85,106.28,116.23,,,
Austria,AUT,2013,0.81,3768,145.22,104.06,113.83,8556000,430197,
Azerbaijan,AZE,2013,0.95,3118,170.44,106.21,90.87,9385000,74160,0.21
Bahamas,BHS,2013,1.2,2670,59.27,93.15,31.1,367000,10563,
Bangladesh,BGD,2013,6.57,2450,100.93,86.62,104.2,152760992,161297,0.26
Barbados,BRB,2013,6.49,2937,29.93,55.84,4.11,284000,4677,0.22
Belarus,BLR,2013,0.03,3250,88.55,88.24,68.13,9424000,75496,
Belgium,BEL,2013,2.48,3733,129.84,93.82,89.08,11154000,521083,
Belize,BLZ,2013,15.38,2751,162.32,99.59,69.93,346000,1608,0.25
Benin,BEN,2013,9.59,2619,75.68,73.27,50.48,10005000,12518,0.28
Bermuda,BMU,2013,2.11,2671,49.8,64.43,25.19,64000,,
Bolivia,BOL,2013,4.62,2256,109.6,90.79,96.97,10542000,30883,0.23
Bosnia and Herzegovina,BIH,2013,7.21,3154,53.14,66.01,66.38,3543000,18155,
Botswana,BWA,2013,5.64,2326,71.72,91.64,32.21,2063000,14915,0.25
Brazil,BRA,2013,16.45,3263,66.04,64.86,28.94,201036000,2471529,0.23
Brunei,BRN,2013,1.33,2985,117.75,94.99,97.58,404000,18092,0.21
Bulgaria,BGR,2013,2.35,2829,82.6,93.41,85.99,7290000,55557,
Burkina Faso,BFA,2013,14.96,2720,94.15,83.53,53.72,17073000,11955,0.41
Cabo Verde,,2013,13.77,2609,61.6,79.38,11.72,,,0.25
Cambodia,KHM,2013,4.92,2477,35.96,65.66,13.21,15026000,15228,0.27
Cameroon,CMR,2013,21.48,2671,57.08,69.96,13.35,22077000,32358,0.25
Canada,CAN,2013,12.1,3494,147.05,104.95,90.75,35297000,1846595,
Caribbean,,2013,15.95,,71.18,73.65,35.12,,,
Central African Republic,CAF,2013,8.35,1879,71.29,68.33,44.61,4448000,,0.3
Central America,,2013,12.93,,59.54,46.06,29.45,,,
Central Asia,,2013,0.89,,86.28,82.49,54.93,,,
Chad,TCD,2013,8.76,2110,47.09,62.72,12.01,13220000,12994,0.36
Chile,CHL,2013,4.19,2979,89.36,87.36,85.69,17572000,278345,0.22
China,CHN,2013,1.35,3108,95.12,98.02,61.05,1391883008,9635025,0.32
"China, Hong Kong SAR",,2013,1.33,,82.15,64.38,50.79,,,
"China, Macao SAR",,2013,3.61,,46.97,51.66,29.38,,,
"China, Taiwan Province of",,2013,2.73,,90.46,75.07,49.99,,,
"China, mainland",,2013,1.33,,59.33,58.51,15.01,,,
Colombia,COL,2013,6.4,2804,118.45,84.35,66.3,46495000,381844,0.26
Congo,COG,2013,3.27,2208,68.8,90.86,53.94,4623000,,0.28
Costa Rica,CRI,2013,10.58,2848,114.73,77.61,75.58,4742000,50326,0.22
Cote d'Ivoire,CIV,2013,2.42,2799,137.05,87.47,72.83,22088000,,0.38
Croatia,HRV,2013,0.73,3059,134.54,108.88,81.87,4277000,58158,
Cuba,CUB,2013,21.21,3409,60.13,65.86,18.35,11283000,77148,0.23
Cyprus,CYP,2013,3.11,2649,75.48,76.25,51.94,1144000,24093,
Czech Republic,CZE,2013,1.92,3256,89.26,58.2,47.2,10587000,209402,
Denmark,DNK,2013,1.05,3367,38.37,56.71,10.81,5638000,343584,
Djibouti,DJI,2013,12.78,2607,94.42,96.48,60.2,883000,2043,0.3
Dominica,DMA,2013,5.19,2931,107.86,97.42,68.75,71000,502,0.24
Dominican Republic,DOM,2013,11.59,2614,94.72,61.36,53.98,10048000,62758,
Eastern Africa,,2013,15.96,,63.13,103.24,30.47,,,
Eastern Asia,,2013,1.51,,62.26,71.9,29.04,,,
Eastern Europe,,2013,1.78,,90.71,103.9,58.54,,,
Ecuador,ECU,2013,2.05,2344,25.93,60.4,7.06,15707000,95130,0.23
Egypt,EGY,2013,5.65,3522,128.96,102.06,77.34,88405000,288007,0.29
El Salvador,SLV,2013,17.39,2577,149.19,105.23,85.28,6266000,21991,0.26
Estonia,EST,2013,8.66,3253,139.97,103.85,81.26,1319000,,0.31
Ethiopia,ETH,2013,15.82,2131,94.57,73.6,39.59,95386000,,
Europe,,2013,2.56,2419,140.26,117.72,77.53,,,
European Union,,2013,2.77,2566,159.2,110.52,86.76,,,
Fiji,FJI,2013,10.9,2943,125.9,96.85,101.1,866000,4539,0.24
Finland,FIN,2013,1.17,3368,59.57,86.63,70.81,5439000,270061,
France,FRA,2013,1.86,3482,71.32,61.55,6.41,63894000,2811918,
French Polynesia,PYF,2013,2.87,2927,64.59,80.53,27.98,270000,,
Gabon,GAB,2013,0.26,2830,141.87,101.59,85.94,1817000,17596,0.2
Gambia,GMB,2013,1.23,2628,45.96,64.57,17.44,1964000,,0.27
Georgia,GEO,2013,0.04,2905,146.66,108.8,76.6,4049000,16140,0.25
Germany,DEU,2013,0.73,3499,86.74,69.19,60.91,81174000,3733859,
Ghana,GHA,2013,8.85,3016,55.73,63.73,27.39,26608000,63279,0.27
Greece,GRC,2013,4.79,3400,61.99,55.93,10.39,10741000,239937,
Grenada,GRD,2013,7.23,2447,63.5,44.04,16.33,108000,843,
Guatemala,GTM,2013,15.08,2419,59.65,79.51,43.79,15596000,53851,0.3
